"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
164,"Zuheil Lopez Guerra","9 reseñas · 2 fotos","Hace 9 meses","Cena","50-60 €","Positivo","","Ambiente acogedor para familias, atención amable y comida deliciosa","","No","El ambiente es acogedor y Perfecto para disfrutar en familia. La atención fue muy amable desde el principio y la comida deliciosa."
165,"Javier Martínez","Local Guide · 220 reseñas · 69 fotos","Hace 7 meses","","","Mixto","","Comida muy rica, servicio general rápido y amable","Formas toscas o desabridas de un camarero senior","No","La comida muy buena y el servicio muy amable y rápido. Algo peor un señor más mayor debería mejorar sus formas"
166,"Álvaro Pérez","7 reseñas","Hace 2 años","Comida","20-30 €","Mixto","Platos individuales para compartir","Comida bien elaborada y de buena materia prima","Raciones escasas, servicio excesivamente acelerado y discusiones ruidosas entre los propios empleados","No","La comida muy bien elaborada y de calidad pero escasa. Está pensado para compartir y pedir un plato individual pero esperaba más cantidad. Lo que menos me ha gustado ha sido el servicio, atentos, pero todo muy rápido, discusiones entre los empleados..."
167,"Alicia Ortega","Local Guide · 50 reseñas · 12 fotos","Hace 2 años","Comida","30-40 €","Negativo","Hamburguesas","","Cocina completamente desbordada en fin de semana, platos servidos a destiempo y desordenados","No","Habiendo visto las reseñas, nos esperábamos más. Estuvimos comiendo el sábado dos familias y la cocina estaba desbordada. Los platos salían desordenados (pedimos 4 hamburguesas y sacaron 3, para la cuarta tuvimos que esperar)..."
168,"I C","Local Guide · 50 reseñas","Hace 2 años","Comida","30-40 €","Positivo","Café","Platos creativos, originales y sabrosos, servicio rápido y amable","Sillas duras e incómodas, café muy normalito","No","Un sitio muy recomendable para comer bien y probar platos que se salen de lo habitual. Preparaciones muy originales y sabrosas, con un toque creativo siempre, pero muy acertadas. Servicio rápido, atento y muy amable. Lo único que desentona un poco es el café... Las sillas son un poco duras."
169,"Sonsoles Manero","9 reseñas · 1 foto","Hace 2 años","Comida","30-40 €","Negativo","","","Demoras excesivas para servir la comida en días de alta afluencia","No","Salimos decepcionados. Íbamos con expectativas por las buenas reseñas, pero nuestra experiencia fue regular. Fuimos un domingo en que el restaurante estaba más o menos lleno, tardaron muchísimo en servirnos la comida."
170,"Ojka","Local Guide · 179 reseñas · 250 fotos","Hace 4 años","Comida","","Positivo","Tapas","Excelente para tapeo, carta dinámica y actualizada, terraza cerrada confortable","","Sí","Excelente para tapeo y comer, siempre actualizando la carta. Terraza cerrada, buen servicio, recomendable"
171,"Arturo Rodríguez","Local Guide · 120 reseñas · 144 fotos","Hace 4 años","","","Positivo","","Buen producto, elaboraciones divertidas e innovadoras, trato cercano y precio asequible","","Sí","Una sorpresa! Buen género, mejores elaboraciones. Muy divertido, como no se ve fuera de Madrid pero mucho más cercano y asequible, estupenda relación calidad-precio."
172,"mariana lafita","Local Guide · 20 reseñas · 10 fotos","Hace 1 año","","20-30 €","Positivo","Pintxos para compartir","Platos originales y pintxos fáciles de compartir, servicio súper rápido y atento","","No","Buenísima comida, tiene platos muy diferentes y pintxos fáciles para compartir. Nos trataron fenomenal y súper rápido. Nos encanta!!"
173,"Begoña C","Local Guide · 16 reseñas · 2 fotos","Hace 1 año","Cena","30-40 €","Negativo","Carne, Focaccia","","Comida con exceso de sal, carne de baja calidad, focaccia dura como una suela e incomible","No","No me ha gustado nada. Comida llena de sal, carne de mala calidad, focaccia que era una suela de zapato tambien inmasticable y sin sabor a nada, . No me ha gustado nada."
174,"Miguel Angel","Local Guide · 35 reseñas · 17 fotos","Hace 2 años","Cena","20-30 €","Positivo","Tortilla de Betanzos, Sardinas, Bombones de foie y membrillo, Taco","Tapas frías y tortilla extraordinarias","","No","No suelo poner reseñas de este tipo, pero haré una excepción con La Roca. Primera vez que iba y me encantó. Pedimos tortilla de Betanzos y tres tapas frías: la de sardinas, los bombones de foie y membrillo y el taco. Todo extraordinario..."
175,"Enrique Aracil (AGS)","Local Guide · 184 reseñas · 548 fotos","Hace 2 años","","","Negativo","Pulpo a la brasa, Croquetas, Torrija con helado de violeta","","Pulpo duro recalentado en microondas, croquetas terribles, torrija sin gracia, local con pretensiones vacías","No","Un sitio más, solo con pretensiones. Mala calidad de la comida. El pulpo a la brasa, pésimo, duro (quizás calentado al microondas, un sacrilegio), en un mal concepto de plato. Terribles croquetas. La torrija con helado de violeta.....sin gracia"
176,"Alicia Sierra","Local Guide · 55 reseñas · 82 fotos","Hace 4 años","Cena","30-40 €","Positivo","Hamburguesa","Hamburguesa espectacular, comida muy sabrosa","","No","Muy rico todo. La hamburguesa está espectacular."
177,"Fabian Juanes","Local Guide · 41 reseñas · 16 fotos","Hace 3 años","Cena","30-40 €","Positivo","","Cocina excelente, presentación cuidada, esfuerzo de sala por acomodar sin reserva previa","","Sí","No decepciona, acierto seguro. Conocíamos este restaurante de otra ocasión y ya nos encantó. Hoy siendo complicado tener mesa sin reserva, hicieron lo posible para finalmente poder darnos una mesa. La carta, todo buenísimo..."
178,"Begoña Rubio","Local Guide · 20 reseñas","Hace 1 año","","","Positivo","","Comida y atención excelentes, servicio de cocina y mesa muy rápido","","No","Excelente comida y excelente atención por parte del personal. Nos han atendido muy rápido y nos han traído la cena igual de rápido. ¡Volveremos!"
179,"GEMA LAMOR","Local Guide · 199 reseñas · 59 fotos","Hace 3 años","Cena","20-30 €","Negativo","Agua del grifo","Comida rica","1 hora y media de espera para 4 platos pequeños, problemas para servir la jarra de agua reglamentaria","Sí","La comida buena, pero hay que venir con mucho tiempo. Han tardado para 4 platos pequeñas para 4 personas 1 hora y media. Pedimos agua, que es obligatorio que te pongan una jarra, nada más llegar..."
180,"Glo JB","Local Guide · 70 reseñas · 54 fotos","Hace 7 años","","","Positivo","Menú de un plato con bebida y postre","Plato contundente con ingredientes de calidad, local pequeño y acogedor","","No","Menú de un plato con postre y bebida, contundente, con ingredientes de calidad, sitio chiquitito pero muy agradable."
181,"Elena Gomá Garcés","Local Guide · 50 reseñas · 24 fotos","Hace 7 meses","","","Positivo","Tapas de alta cocina","Tapas de alta cocina deliciosas y muy recomendables","","No","Tapas de alta cocina muy ricas. Muy recomendable."
182,"Amparo Fernández Benito","Local Guide · 33 reseñas · 17 fotos","Hace 3 años","Comida","40-50 €","Positivo","Platos de carta y sugerencias","Atención inmejorable, platos deliciosos, camareros explicando las opciones fuera de carta","","No","Repetiría sin dudarlo! Estuve celebrando mi cumpleaños con mi familia y la atención fue inmejorable. Hacía tiempo que no disfrutaba tanto en un restaurante. Todo lo que pedimos de la carta estaba buenísimo."
183,"Vic RA","Local Guide · 19 reseñas · 5 fotos","Hace 2 años","Comida","40-50 €","Mixto","Tapas de autor","Comida rica, sabores originales, buen servicio","Precios altos para cantidades pequeñas; no apto para ir con mucho apetito","No","La comida está muy rica y tienen una carta de tapas para poder probar sabores originales. Buen servicio. El precio es elevado en relación a las cantidades, por lo que si vas con mucha hambre, la cuenta se dispara."
184,"Dani Crespo","14 reseñas","Hace 1 año","","","Positivo","","Calidad excepcional, platos muy elaborados y trato muy cercano","","Sí","Excelente servicio, toda la comida de una calidad excepcional. Platos muy elaborados y trato muy cercano. Totalmente recomendable."
185,"Bea G.","Local Guide · 417 reseñas · 1.190 fotos","Hace 2 años","Comida","40-50 €","Positivo","Postres","Materia prima inmejorable, excelente relación calidad-precio, postres espectaculares","","No","He estado 2 veces y me encanta. Una cocina con unos ingredientes inmejorables. Alta calidad y buen precio. Todo esta increíble y es super importante probar los postres, que estan de lujo."
186,"Cb","8 reseñas","Hace 4 años","","","Positivo","Patatas bravas, Carnes, Postres","Camareros atentísimos y educados, bravas originales con salsas diferentes, carnes y postres de 10","","No","Uno de los mejores restaurantes de Pozuelo. El trato exquisito. Los camareros atentísimos, muy agradables. De aperitivo pedimos unas patatas bravas y la mezcla de salsas estaba muy rica, diferente..La carne espectacular y los postres también."
187,"Vicky Bedon","Local Guide · 28 reseñas · 4 fotos","Hace 1 año","Comida","40-50 €","Positivo","Platos de mercado","Relación calidad-precio excepcional, platos con toque especial, camareros diligentes (mención a Martin)","","No","Un restaurante con una relación calidad-precio excepcional. Platos de mercado con un toque muy especial. El servicio no se queda atrás, todos los camareros muy diligentes especialmente Martin. Para repetir."
188,"Oscar Gonzalez","Local Guide · 354 reseñas · 329 fotos","Hace 1 año","Cena","30-40 €","Positivo","Torreznos, Bocata de calamares","Torreznos 'top', bocata de calamares y platos deliciosos","Servicio algo desbordado en fines de semana de alta ocupación","No","Buena experiencia si bien es cierto que algún fin de semana está desbordado y precisarían apoyo extra. Torreznos top, bocata de calamares…. Todo muy rico."
189,"Jaime Jinete","Local Guide · 12 reseñas · 12 fotos","Hace 1 año","Cena","50-60 €","Negativo","","","Cancelación unilateral de mesa reservada con días de antelación por no responder llamadas de confirmación","Sí","Nos imcumplieron la reserva y poco friendliness. Reservamos una mesa, en persona, desde el día Jueves para el Domingo día de las Madres. Al llegar a la reserva encontramos que había sido cancelada porque llamaron del restaurante..."
190,"Oula Eventos","4 reseñas","Hace 1 año","Comida","30-40 €","Positivo","Tapas, Platillos","Gran variedad de tapas y platillos, atención constante y muy buena","","No","Excelente experiencia, Gran variedad de tapas y excelentes el apartado de plato y platillos. Muy buena atención en todo momento."
191,"Stephanie Casella","Local Guide · 77 reseñas · 53 fotos","Hace 2 años","Cena","","Positivo","","Ambiente acogedor, presentación y sabor increíbles, atención espectacular de Ney y Martín","","Sí","Ambiente acogedor y trato espectacular del personal. Me gustaría destacar la labor de Ney y Martín, estuvieron súper atentos con nosotros y fueron muy amables. La presentación de platos fue excelente y el sabor... increíble."
192,"Juan García","5 reseñas · 1 foto","Hace 4 años","","","Positivo","Huevo Rossini con trufa, boletus y foie","Huevo Rossini espectacular y redondo en sabor","","No","Espectacular! Huevo Rossini. Trufa, boletus y foie"
193,"Ana Camacho","Local Guide · 64 reseñas · 28 fotos","Hace 1 año","Cena","40-50 €","Positivo","Chuletón matizado, Empanadilla criolla","Camareros súper atentos (destacando a Ney), chuletón y empanadillas deliciosas","","No","Hemos cenado aquí, y ha sido todo espectacular. Todos los camareros fueron muy atentos en especial Ney, recomendamos el chuletón matizado, la empanadilla criolla y todo porque gracias al servicio te dan ganas de volver!"
194,"Begoña Palomera","8 reseñas · 5 fotos","Hace 1 año","","30-40 €","Positivo","","Servicio excelente, ambiente agradable, muy buen producto y relación calidad-precio óptima","","No","Excelentes servicio buen ambiente y muy buen producto y mejor cocina, La relación calidad precio excelente!!! Muy recomendable. Hasta pronto!!"
195,"Santiago Sanz","5 reseñas","Hace 3 años","Cena","30-40 €","Positivo","","Calidad altísima de cocina, precios ajustados, servicio perfecto sin fallos","","No","La comida de buenisima calidad y buen precio. Servicio excelente, ningún pero. Recomiendo totalmente ir a este restaurante."
196,"Jorge Barrionuevo","Local Guide · 15 reseñas · 1 foto","Hace 5 años","","","Negativo","Vino Malbec reserva","Local bonito, único punto rescatable el vino Malbec reserva","Servicio lento y desatento, falta de copas limpias por atasco en lavavajillas, comida escasa y carta de vinos deficiente","No","Si te quieres engañar, va bien. Sitio bonito. Grandes pretensiones... y termino de leer. Servicio poco atento y lento. Nos sirven el vino y nos dicen que: 'No hay copas hasta que salgan del lavavajillas'... Comida por lo general buena pero escasa. Carta de vinos lamentable."
197,"Luma","Local Guide · 133 reseñas · 13 fotos","Hace 2 años","Cena","40-50 €","Mixto","Torreznos, Chuletón con patatas y pimientos","Torreznos espectaculares, servicio de camareros atento","Tuvieron que reclamar un plato varias veces; las guarniciones del chuletón se cobran aparte sin avisar","No","Estaba todo muy rico. La atención excelente aunq uno de mis platos hubo q reclamarlo varias veces. Los torreznos espectaculares. La pega q pongo es q al pedir el chuletón te traen pimientos y patatas, pero se olvidan decirte q no van incluidos..."
198,"Manuel Serrano","Local Guide · 115 reseñas · 507 fotos","Hace 7 años","","","Mixto","Arroz con langostinos","Terraza muy agradable y servicio muy rápido en primera visita","Precio algo elevado; arroz con langostinos insípido en segunda visita","Sí","Terraza agradable y comida muy rica. El servicio muy rápido. Si fuera un poco más barato sería difícil de superar. En la segunda visita el asunto fue distinto. Arroz con langostinos insípido."
199,"Nacho Martín","Local Guide · 108 reseñas · 69 fotos","Hace 5 años","","","Positivo","","Decoración acogedora, buen aislamiento acústico, comida rica y atención impecable","","No","Muy buen sitio. Decoración agradable, bien aislado de ruido. Comida muy rica y muy buen atendido."
200,"Soledad Tamariz-Martel","Local Guide · 260 reseñas · 218 fotos","Hace 3 años","Cena","","Positivo","","Buena cocina, ambiente acogedor, terraza muy agradable","Trato de los encargados algo mejorable en simpatía en ocasiones puntuales","No","Buena cocina y ambiente, la terraza es muy agradable. El trato de los encargados siempre ha sido adecuado, aunque algunas vez he sentido que pueden mejorar la amabilidad. Recomiendo el lugar por su comida y ambiente"
201,"ALMUDENA ALISES NIÑO","1 reseña","Hace 1 año","","","Positivo","Platos recomendados","Comida y servicio excelentes, recomendaciones perfectas de Ney","","No","Un sitio para repetir, comida y servicio excelente. Las recomendaciones de Ney inmejorables."
202,"Francisco Serrano","Local Guide · 23 reseñas · 5 fotos","Hace 3 años","","50-60 €","Positivo","","Atención magistral de Ney (conoce la carta de memoria), calidad y mimo culinario sobresalientes","","No","Increíble cena de aniversario. Nos atendió Ney -un verdadero profesional, se sabe la carta de memoria y es muy atento- seguimos todas sus recomendaciones y salimos encantados. La calidad y el mimo de los platos es muy notable. Repetiremos seguro"
203,"Ruben Chacon","Local Guide · 21 reseñas · 27 fotos","Hace 2 años","Cena","30-40 €","Positivo","Chuletón matizado","Platos sabrosos, chuletón matizado excelente","","No","Muy bien el sitio este 👌🏽 Sobre todo el Chuletón matizado de diplodocus liliputiense. Ver foto."
204,"bvamorales","Local Guide · 38 reseñas · 10 fotos","Hace 4 años","","","Positivo","","Elaboraciones exquisitas, buen producto, camareros explicando detalladamente cada plato y muy atentos","","Sí","Exquisitas elaboraciones y buen producto en todos los platos. Un servicio de atención excelente donde te explican cada plato que te están sirviendo y donde están pendientes de todo para que no te falte de nada."
205,"Álvaro Benito","8 reseñas","Hace 3 años","Cena","40-50 €","Positivo","Platos fusión","Ambiente inmejorable, camareros simpáticos con grandes recomendaciones, propuesta fusión muy cuidada","","No","Restaurante con un ambiente inmejorable, camareros muy atentos y amables, siempre con una sonrisa y haciendo grandes recomendaciones. La carta está muy cuidada, con énfasis en cocina fusión..."
206,"Pablo Romero","9 reseñas · 3 fotos","Hace 11 meses","Cena","40-50 €","Positivo","Platos para compartir","Personal súper agradable y atento, comida riquísima ideal para degustar muchos platos","","No","Es la 4ª o 5ª vez que vamos y siempre salimos muy contentos, personal super atento y agradable. Comida riquísima, perfecto para comer muchos platos"
207,"Fernando Conde","Local Guide · 129 reseñas · 168 fotos","Hace 3 años","Comida","20-30 €","Mixto","","Servicio eficiente y agradable, ambiente y decoración confortables","Altibajos culinarios en algunos platos, precios desmedidos","No","Lo cierto es que La Roca es un sitio muy disfrutable: muy buen servicio, eficiente y agradable, buena comida en general, ambiente y decoración agradables... Lo que ocurre es que el mix tiene altibajos y los precios se van totalmente."
208,"Antonio Sanz","7 reseñas","Hace 3 años","","","Positivo","Tapas para compartir","Variedad de sabores y propuestas creativas para compartir, excelente atención","","No","He ido varias veces y siempre resulta una muy buena y novedosa experiencia. Variedad de sabores y platos ideal para compartir. Dejarse aconsejar es un acierto. Excelente trato."
209,"Luisa Pérez García","8 reseñas · 4 fotos","Hace 1 año","Cena","20-30 €","Positivo","Menú cerrado de grupo","Comida deliciosa, raciones generosas en menú de grupo, personal de 10","","No","Estuve cenando hace unas semanas. Fuimos un grupo con un menú cerrado y no pudo estar mejor. La comida deliciosa y bien de cantidad. Y todo el personal de 10."
210,"Alberto Garcia","Local Guide · 17 reseñas · 3 fotos","Hace 1 año","Cena","","Negativo","","Comida rica","Servicio muy lento, se les cayó comida a la mesa y no la limpiaron ni se disculparon","Sí","Comida rica, pero el servicio realemente malo. Muy lento. A la hora de servir, se les cayo por ejemplo comida a la mesa y ni un intento de solucionarlo o pedir disculpas, en la mesa se quedo.... Realmente mal"
211,"Fernando Rodriguez Romero","Local Guide · 85 reseñas · 19 fotos","Hace 4 años","","","Positivo","Tapas y platillos","Cocina fina con toques de fusión, servicio amable y rápido","","No","Se trata de un restaurante de tapas y platos por lo general pequeños. La cocina es fina, con un toque fusión a veces, y muy rica. El servicio es amable y rápido y creo que el dueño hace de maitre."
212,"Carolina SG","Local Guide · 332 reseñas · 1.880 fotos","Hace 4 años","","","Mixto","Guiso de rabo de toro","Guiso de toro muy recomendable, buena atención con explicaciones de los platos","Raciones pequeñas para su precio, decoración mejorable","No","Te explican cada plato y la atención al cliente es muy buena, para el precio que se paga quizás las raciones podrían ser más grandes y mejorar la decoración. El precio me pareció excesivo por el tamaño de las tapas-plato. Recomiendo el guiso de toro"
213,"Alvaro De Piñera Martin","1 reseña","Hace 3 meses","","","Positivo","","Atención excelente y agradable de Jessica","","No","Se llama Jessica y nos ha antendido muy bien"
214,"Belen Puras Martinez","2 reseñas","Hace 1 año","Cena","","Positivo","Platos recomendados","Local impecable, servicio súper atento y recomendaciones totalmente acertadas","","Sí","Un sitio súper agradable e impecable en todos los sentidos. El camarero muy pendiente en todo momento, y las recomendaciones q nos hizo, un acierto. Totalmente recomendable"
215,"KINGA RUTS","1 reseña","Hace 1 año","","","Positivo","","El mejor restaurante de la zona, comida y servicio de primer orden","","No","Excelente servicio. He conocido visitado muchos lugares de Pozuelo pero sin dudas este es el mejor. Destaca su comida"
216,"Maria Framit","4 reseñas · 1 foto","Hace 3 años","","","Positivo","","Comida de calidad superior que justifica el precio del ticket","","No","Lo mejor que he visitado en mucho tiempo. La comida es excelente. He leído unas cuantas reseñas que hablan sobre el precio, creo que la gente no debería ir a sitios que no se puede permitir solo para criticar. Si quieres buena calidad..."
217,"Oscar Castro","10 reseñas · 3 fotos","Hace 2 años","Comida","30-40 €","Negativo","","","Cocina sin alma, platos totalmente planos (nivel de 6 raspado), servicio disperso y lento","No","Cocina sin alma, la verdad no entiendo la buena valoración de ese sitio, es un restaurante normalito; eso sí, situado en una zona de renta media-alta. La comida toda al mismo nivel de pasable, todo es un 6... El servicio bastante disperso y lento."
218,"Mariano Calabuig","Local Guide · 167 reseñas · 15 fotos","Hace 8 años","","","Negativo","","","Calidad corriente, raciones escasas, precios desorbitados (300€ entre 4) y cero cortesía/invitación con cuentas altas","No","La calidad normal, las raciones escasas. Quieren ser demasiados modernos y no llegan y sobre todo caro y con falta de detalles hacia el cliente. Entre 4 nos dejamos casi 300 euros un día entre semana, les solucionamos la caja de la noche y no tuvieron el detalle de invitar a una copa."
219,"Alejandra Bohórquez Moreno","4 reseñas","Hace 1 año","Cena","50-60 €","Positivo","","Comida de muy buena calidad y precio ajustado, trato estupendo de camareros","","No","Comida de muy buena calidad y de precio. Además, el trato por parte de los camareros ha sido estupendo."
220,"Idoia G.","Local Guide · 43 reseñas · 5 fotos","Hace 1 año","Cena","20-30 €","Negativo","Tortilla de Betanzos con patatas chips","","Uso inaceptable de patatas chips procesadas para elaborar la tortilla de Betanzos","No","Con este restaurante o bien aciertas o bien es una decepcion. Ya lo siento pero la tortilla de “betanzos” con patatas chips me parece vergonzoso para un restaurante de calidad como este."
221,"Daniel Nuñez","Local Guide · 20 reseñas","Hace 2 años","Comida","20-30 €","Positivo","Platos elaborados, Tapeo","Comida muy sabrosa en tapeo y platos de autor, atención excelente","","No","Fascinante experiencia comer en La Roca. Fui en varias oportunidades y siempre la comida muy rica, y una atención excelente. Hay platos elaborados y todo el tapeo simple que quieres cuando tienes prisa. Cada vez que paso por Madrid es parada obligada"
222,"Santiago Domenech","Local Guide · 229 reseñas · 179 fotos","Hace 3 años","","","Positivo","Tacos de pulpo en tempura","Excelente materia prima, carta sugerente, local muy cómodo, raciones suficientes","","Sí","Excelente atención, carta variada y sugerente per se, excelente género, raciones algo justas según lo que pidas, pero en ningún caso escasas. El local es muy cómodo en todos los aspectos. Comimos tacos de pulpo en tempura..."
223,"adri pantoja","13 reseñas","Hace 2 años","Cena","30-40 €","Positivo","Tortilla trufada, Croquetas, Platos del día","Tortilla trufada y croquetas increíbles de sabor potente, servicio y recomendaciones de diez","","No","La comida excelente y el servicio una maravilla. La tortilla trufada y las croquetas son increíbles, un sabor potente y muy sabroso. El personal super atento nos recomendó algunos de los platos del día y muy bien, sitio agradable."
224,"César Sanz","9 reseñas","Hace 4 años","","","Positivo","Menú degustación de tapas","Excelente relación calidad-precio (25-30€/pax), recomendaciones perfectas de Nei (Ney)","","Sí","Calidad precio muy bueno Unos 25 30 euros por persona Segunda vez. Las 2 veces nos hemos dejado aconsejar por el camarero (Nei) Nos ha preparado una especie de menú de 3 tapillas muy rico Volveremos"
225,"Carlos Granero","Local Guide · 329 reseñas · 271 fotos","Hace 7 años","","","Positivo","Croquetas, Tomate rosa con aceite, sal y hierbas","Platos cuidados, sabrosos y con gran presentación; ideales para 2 o 4 personas","","Sí","Local pequeño, con mesas perfectas para dos o cuatro personas. Los platos muy cuidados, bien presentados y sabrosos. Recomiendo las croquetas y el tomate rosa, servido sin nada más que aceite y sal, además de un toque herbal."
226,"Carlos Guzmán Velasco","Local Guide · 424 reseñas · 1.243 fotos","Hace 6 años","","","Positivo","","Carta cuidada al detalle en producto y técnica, servicio genial, precio acorde","","Sí","Un sitio pequeño y tranquilo en el que puedes disfrutar de una carta con no muchos platos, pero en los que tanto el producto como la elaboración están cuidados al detalle. La relación calidad-precio es muy buena y el servicio genial. Volveremos pronto."
227,"Juan Turrión","Local Guide · 30 reseñas · 45 fotos","Hace 7 años","","","Positivo","Tapas frías y calientes, Entraña, Chipirones con huevos, Tataki de atún","Tapas económicas de gran calidad, raciones abundantes, sugerencias fuera de carta excepcionales","Local pequeño","No","Cocina de mercado, tiene tapas frías de gran calidad, las tapas calientes también son buenas y ambas económicas. Las raciones son abundantes y variadas. Pero destaca sobre todo las ofertas fuera de carta, yo he probado entraña, chipirones con huevos y tataki de atún..."
228,"María Fernanda Rodríguez","13 reseñas","Hace 1 año","Cena","40-50 €","Positivo","Platos de temporada","Producto de temporada tratado con mimo y técnica, ambiente confortable, buen servicio","","No","Producto de temporada tratado con mimo, técnica excelente y sabor. Ambiente muy cómodo y un trato al cliente muy bueno"
229,"Alicia Martinez","Local Guide · 30 reseñas · 16 fotos","Hace 5 años","","","Positivo","Tapas variadas, Helado de galleta","Propuesta gastronómica moderna y de calidad, postre exquisito, atención inmejorable","","No","Todo riquísimo, desde la primera tapa hasta el helado de galleta del último postre. Carta moderna y de calidad que encaja a la perfección con el sitio, también moderno y actual. Atención inmejorable por parte del personal. Volvería sin dudarlo!"
230,"Salva Castro","Local Guide · 143 reseñas · 127 fotos","Hace 5 años","","","Positivo","Platos de autor, Carta de vinos","La mejor cocina de Avenida de Europa, platos muy elaborados, buena bodega, servicio de diez","Uno de los restaurantes más caros de la zona","Sí","Por cocina, el mejor restaurante de Avenida de Europa, pero eso sí también de los más caros. La atención es excelente y los platos muy elaborados. Buena carta de vinos"
231,"Laura Ruggeri","Local Guide · 42 reseñas","Hace 5 años","","","Positivo","Platos de carta nueva","El mejor restaurante de Pozuelo, ingredientes de calidad suprema, recetas creativas, servicio estupendo","","Sí","Para mí es el mejor restaurante de Pozuelo! La calidad de los ingredientes es buenísima y la elaboración de los platos es excelente! Ademas acaban de incluir nuevos platos a su carta y todos muy creativos. El servicio estupendo."
232,"Alejandra Mas","14 reseñas · 3 fotos","Hace 1 año","Cena","20-30 €","Positivo","Kimuchi de marisco, Migas","Vanguardia combinada con tradición; Kimuchi y migas imprescindibles","","No","mi restaurante favorito sin duda!!! Kimuchi es el imprescindible y las migas también. Propuesta de vanguardia con toques tradicionales. Super recomendable"
233,"Vida Fernán","Local Guide · 20 reseñas · 20 fotos","Hace 1 año","Comida","20-30 €","Positivo","","Muy buena calidad de cocina, servicio muy atento","","No","La calidad de la comida muy buenas. El servicio muy atento"
234,"Jorge Méndez Álvarez","3 reseñas","Hace 1 año","Cena","40-50 €","Positivo","Bocaditos y tapas variadas","Formato de bocaditos muy divertido y sabroso, ambiente agradable y personal muy atento","","No","Un sitio genial. Puedes probar un montón de bocaditos súper divertidos y ricos. El servicio es muy guay y te sientes muy a gusto."
235,"Carlos Regueira","Local Guide · 31 reseñas · 3 fotos","Hace 3 años","Comida","30-40 €","Mixto","Torreznos, Vieira, Alcachofas, Bao de carrillera, Croquetas, Callos","Torreznos, vieira, alcachofas y bao excelentes, servicio inmejorable","Croquetas con bechamel sin sabor a jamón, callos insípidos","No","Torreznos, vieira, alcachofas, bao de carrillera excelente. La bechamel de las croquetas buenisima pero no sabían a nada. Me temo que se les había olvidado el jamón. Los callos muy bien limpios pero también insípido. Servicio inmejorable"
236,"Fernanda T","Local Guide · 19 reseñas","Hace 5 años","","","Mixto","Torrijas, Chupitos","Comida sabrosa y trato amable","Raciones muy pequeñas en relación al precio, error en la carta de alérgenos sobre el huevo en la torrija","Sí","Comida rica, pero no me parece proporcional al precio. Raciones muy pequeñas pero sabrosas. Igualmente, lo peor fue que en la carta de alérgenos ponía que las torrijas no tenían huevo. Soy alérgica y me extrañó, así que pregunté a los camareros..."
237,"Manuel Pérez","Local Guide · 82 reseñas","Hace 4 años","","","Positivo","","Relación calidad-precio correcta, servicio muy rápido y agradable","Terraza excesivamente ruidosa cuando está llena","Sí","Relación calidad precio correcta. Servicio muy rápido y agradable. En la terraza ambiente excesivamente ruidoso si bien estaba completo."
238,"Nicolas Pablo Mateo Serrano","Local Guide · 81 reseñas · 68 fotos","Hace 4 años","","","Positivo","Cigala con migas, Alcachofas, Chuletón, Croquetas","Tapas imaginativas en formato individual, buenas raciones para compartir","Precio algo elevado aunque acorde a la calidad","Sí","De las mejores opciones de pozuelo. Excelentes e imaginativas tapas que puedes pedir a nivel individual. También buenas raciones para compartir. Me gusto mucho la cigala con migas, alcachofas, buen chuleton y buenas croquetas."
239,"J. Rgz.","Local Guide · 231 reseñas · 7 fotos","Hace 1 año","","","Negativo","","","Comida normal sin florituras, precios elevados, personal antipático y poco profesional","No","La comida es normal, sin florituras. El precio es elevado en relación a los platos que ofrecen. El personal es poco profesional y algo antipático."
240,"Bobby Diaz","Local Guide · 58 reseñas · 47 fotos","Hace 1 año","Comida","30-40 €","Negativo","","","Nivel culinario por debajo del estándar esperado para un local recomendado en Guía Michelin","Sí","No sé si es que tuvieron un mal día o que pasó pero no nos gustó mucho. Fuimos porque el restaurante está en la guía michelin, pero la verdad es que no nos pareció que estuviese a la altura de otros restaurantes recomendados por esta entidad."
241,"Llegó la hora","Local Guide · 33 reseñas · 18 fotos","Hace 2 años","","","Negativo","Pulpo a la brasa con arroz, Carnes a la brasa, Postres","Camareros amables y atentos, postres deliciosos, local agradable","Platos minúsculos; pulpo seco, frío, escaso y con arroz insípido a precio desorbitado; carnes servidas frías","No","El local me parecen bien, los camareros muy amables y atentos,pero los platos parecían de miniatura.El pulpo lo que peor ...un precio desorbitado, pulpo seco ,frío, poca cantidad y arroz insípido.Las carnes también estaban frías..Una pena. Nos encantaron los postres"
242,"Virginia Fernández","11 reseñas · 2 fotos","Hace 1 año","Comida","30-40 €","Positivo","","Comida de máxima calidad, servicio excelente, experiencia 100% recomendable","","No","Excelente restaurante, comida de máxima calidad y gran servicio, esramos encantados!! Recomendable 100%."
243,"David Arroyo","2 reseñas","Hace 1 año","Cena","","Positivo","","Comida excelente, trato estupendo del personal, ambiente tranquilo","","Sí","La comida excelente, al igual que el trato del personal. El ambiente muy tranquilo. Un acierto haberlo elegido para la celebración."
